,PER_cnt,PER_probs,LOC_cnt,LOC_probs,ORG_cnt,ORG_probs,O_cnt,O_probs
0,2,0.8569460511207581,2,0.9135309457778931,0,0.0,17,0.9422607737429002
1,1,0.598762035369873,0,0.0,1,0.954134464263916,17,0.9682507970753838
2,0,0.0,3,0.8871812621752421,1,0.4909360706806183,32,0.9725147429853678
3,0,0.0,0,0.0,0,0.0,24,0.9758328845103582
4,7,0.6587596833705902,1,0.5995603799819946,0,0.0,19,0.9811723075414959
5,1,0.7731770277023315,0,0.0,0,0.0,16,0.9472299739718437
6,0,0.0,0,0.0,0,0.0,4,0.9348848164081573
7,2,0.9184369742870331,0,0.0,0,0.0,8,0.9225593581795692
8,4,0.9421129375696182,3,0.5504993001619974,0,0.0,6,0.8740003705024719
9,0,0.0,0,0.0,1,0.9554848074913025,19,0.9661166605196501
10,0,0.0,2,0.8790899515151978,0,0.0,30,0.9691894849141439
11,0,0.0,1,0.9362056851387024,2,0.6635385006666183,34,0.9588448124773362
12,0,0.0,0,0.0,0,0.0,14,0.947948328086308
13,2,0.6502686589956284,1,0.5664575695991516,2,0.6951536983251572,23,0.9591376574143119
14,2,0.9420073628425598,0,0.0,3,0.9520602027575175,24,0.9304277747869492
15,0,0.0,1,0.7193529009819031,2,0.60311259329319,47,0.9653526107047466
16,0,0.0,1,0.9181631207466125,1,0.4695243835449219,9,0.7456989056534238
17,0,0.0,0,0.0,1,0.7550244927406311,11,0.966057994148948
18,3,0.7231218914190928,0,0.0,0,0.0,19,0.9695370291408739
19,0,0.0,0,0.0,0,0.0,27,0.9712536577825193
20,1,0.8889434337615967,2,0.6136242747306824,1,0.9401821494102478,22,0.9864872992038727
21,0,0.0,0,0.0,0,0.0,7,0.968705415725708
22,7,0.8205566023077283,3,0.7925175627072653,2,0.9035617411136627,36,0.971903050939242
23,2,0.6471281051635742,0,0.0,0,0.0,10,0.9807508111000061
24,3,0.9120867252349854,1,0.8052183985710144,2,0.9111718237400055,18,0.9133521748913659
