,ADJ_cnt,ADJ_probs,ADP_cnt,ADP_probs,ADV_cnt,ADV_probs,AUX_cnt,AUX_probs,CCONJ_cnt,CCONJ_probs,DET_cnt,DET_probs,INTJ_cnt,INTJ_probs,NOUN_cnt,NOUN_probs,NUM_cnt,NUM_probs,PART_cnt,PART_probs,PRON_cnt,PRON_probs,PROPN_cnt,PROPN_probs,PUNCT_cnt,PUNCT_probs,SCONJ_cnt,SCONJ_probs,SYM_cnt,SYM_probs,VERB_cnt,VERB_probs,X_cnt,X_probs
0,0,0.0,2,0.9199069440364838,0,0.0,0,0.0,0,0.0,0,0.0,1,0.9393683075904846,5,0.7375054240226746,0,0.0,0,0.0,2,0.8480856418609619,0,0.0,1,0.9954190254211426,0,0.0,0,0.0,0,0.0,9,0.5881457361910079
1,0,0.0,4,0.7137648314237595,0,0.0,0,0.0,0,0.0,0,0.0,7,0.7995145789214543,4,0.672387532889843,0,0.0,0,0.0,3,0.7027379870414734,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,11,0.43008028919046576
2,1,0.5429381728172302,0,0.0,2,0.5999073162674904,0,0.0,1,0.6282000541687012,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.9663968682289124,0,0.0,0,0.0,0,0.0,3,0.871924897034963
4,0,0.0,0,0.0,0,0.0,1,0.9825500845909119,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.997794508934021,2,0.7506052851676941,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
5,0,0.0,0,0.0,0,0.0,0,0.0,1,0.8812860250473022,0,0.0,1,0.7979435324668884,0,0.0,0,0.0,0,0.0,0,0.0,1,0.9891811013221741,0,0.0,0,0.0,0,0.0,0,0.0,1,0.23782651126384735
6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.6219927966594696,3,0.45604005455970764,0,0.0,0,0.0,1,0.8302808403968811,0,0.0,1,0.9981701374053955,0,0.0,0,0.0,0,0.0,2,0.5264765620231628
7,0,0.0,1,0.5307969450950623,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.660868227481842,3,0.3981497436761856,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
8,0,0.0,1,0.6163350939750671,0,0.0,0,0.0,0,0.0,0,0.0,2,0.7576701045036316,4,0.43288276344537735,0,0.0,0,0.0,4,0.576709620654583,5,0.4730200290679932,0,0.0,0,0.0,0,0.0,0,0.0,4,0.4448193833231926
9,2,0.7100949585437775,2,0.9518984258174896,2,0.4418931305408478,0,0.0,0,0.0,2,0.3673514276742935,3,0.5993616282939911,2,0.6523271799087524,1,0.2817970812320709,0,0.0,2,0.9429720938205719,1,0.76304692029953,1,0.9989701509475708,0,0.0,0,0.0,0,0.0,3,0.4009633759657542
10,0,0.0,3,0.9945475061734518,0,0.0,1,0.6182288527488708,0,0.0,0,0.0,3,0.7857814828554789,7,0.6813116031033652,0,0.0,0,0.0,0,0.0,2,0.9251883029937744,0,0.0,0,0.0,0,0.0,0,0.0,2,0.49105866253376007
11,0,0.0,0,0.0,0,0.0,0,0.0,2,0.5840114057064056,0,0.0,1,0.6580830216407776,2,0.9858267307281494,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.5969117879867554,0,0.0
