,entailment_probs,entailment_cnt,neutral_probs,neutral_cnt,contradiction_probs,contradiction_cnt
0,0.6271145939826965,1,0.0,0,0.0,0
1,0.4638490080833435,1,0.0,0,0.0,0
2,0.8287423253059387,1,0.0,0,0.0,0
3,0.4496544599533081,1,0.0,0,0.0,0
4,0.5215514898300171,1,0.0,0,0.0,0
5,0.4291776716709137,1,0.0,0,0.0,0
6,0.0,0,0.0,0,0.4257782995700836,1
7,0.6948676109313965,1,0.0,0,0.0,0
8,0.0,0,0.0,0,0.3991524279117584,1
9,0.0,0,0.0,0,0.6120394468307495,1
10,0.0,0,0.0,0,0.5186639428138733,1
11,0.0,0,0.0,0,0.399287611246109,1
12,0.5120539665222168,1,0.0,0,0.0,0
13,0.6212295293807983,1,0.0,0,0.0,0
14,0.46064481139183044,1,0.0,0,0.0,0
15,0.0,0,0.0,0,0.501940131187439,1
16,0.5116487145423889,1,0.0,0,0.0,0
17,0.6974236369132996,1,0.0,0,0.0,0
18,0.0,0,0.0,0,0.6412602066993713,1
19,0.35954922437667847,1,0.0,0,0.0,0
20,0.0,0,0.4070214033126831,1,0.0,0
21,0.39086294174194336,1,0.0,0,0.0,0
22,0.0,0,0.5583654642105103,1,0.0,0
23,0.0,0,0.0,0,0.41288813948631287,1
24,0.0,0,0.0,0,0.3463221788406372,1
25,0.6875455379486084,1,0.0,0,0.0,0
26,0.6201173067092896,1,0.0,0,0.0,0
27,0.6051201224327087,1,0.0,0,0.0,0
28,0.48542335629463196,1,0.0,0,0.0,0
29,0.0,0,0.0,0,0.40111973881721497,1
30,0.46191614866256714,1,0.0,0,0.0,0
31,0.6702589392662048,1,0.0,0,0.0,0
32,0.7165901064872742,1,0.0,0,0.0,0
33,0.9202601313591003,1,0.0,0,0.0,0
34,0.0,0,0.0,0,0.4670502245426178,1
35,0.8304858207702637,1,0.0,0,0.0,0
36,0.0,0,0.0,0,0.4988703727722168,1
37,0.5813019275665283,1,0.0,0,0.0,0
38,0.7580360174179077,1,0.0,0,0.0,0
39,0.0,0,0.0,0,0.7803553938865662,1
40,0.0,0,0.0,0,0.4377347528934479,1
41,0.8198574185371399,1,0.0,0,0.0,0
42,0.9027416706085205,1,0.0,0,0.0,0
43,0.0,0,0.0,0,0.5655468106269836,1
44,0.4871811270713806,1,0.0,0,0.0,0
45,0.7886822819709778,1,0.0,0,0.0,0
46,0.7650917768478394,1,0.0,0,0.0,0
47,0.0,0,0.0,0,0.8318850994110107,1
48,0.6469268202781677,1,0.0,0,0.0,0
49,0.5759812593460083,1,0.0,0,0.0,0
50,0.5000380873680115,1,0.0,0,0.0,0
51,0.8581873774528503,1,0.0,0,0.0,0
52,0.45438477396965027,1,0.0,0,0.0,0
53,0.6765993237495422,1,0.0,0,0.0,0
54,0.401152640581131,1,0.0,0,0.0,0
55,0.44979411363601685,1,0.0,0,0.0,0
56,0.6868093609809875,1,0.0,0,0.0,0
57,0.4968082904815674,1,0.0,0,0.0,0
58,0.5706477761268616,1,0.0,0,0.0,0
59,0.0,0,0.0,0,0.3983316719532013,1
60,0.5436768531799316,1,0.0,0,0.0,0
61,0.6379306316375732,1,0.0,0,0.0,0
62,0.7252328395843506,1,0.0,0,0.0,0
63,0.8481857776641846,1,0.0,0,0.0,0
64,0.7507580518722534,1,0.0,0,0.0,0
65,0.48797866702079773,1,0.0,0,0.0,0
66,0.4217764437198639,1,0.0,0,0.0,0
67,0.0,0,0.4480273127555847,1,0.0,0
68,0.0,0,0.0,0,0.442537397146225,1
69,0.41536176204681396,1,0.0,0,0.0,0
70,0.5482610464096069,1,0.0,0,0.0,0
71,0.4452691376209259,1,0.0,0,0.0,0
72,0.545124351978302,1,0.0,0,0.0,0
73,0.0,0,0.0,0,0.5906973481178284,1
74,0.0,0,0.0,0,0.4738718867301941,1
75,0.47409379482269287,1,0.0,0,0.0,0
76,0.6892161965370178,1,0.0,0,0.0,0
77,0.0,0,0.0,0,0.43727484345436096,1
78,0.0,0,0.5419970750808716,1,0.0,0
79,0.4874703884124756,1,0.0,0,0.0,0
80,0.0,0,0.0,0,0.37488076090812683,1
81,0.6746885776519775,1,0.0,0,0.0,0
82,0.6342723965644836,1,0.0,0,0.0,0
83,0.0,0,0.0,0,0.4187120497226715,1
84,0.0,0,0.0,0,0.5137222409248352,1
85,0.5454885363578796,1,0.0,0,0.0,0
86,0.4551740288734436,1,0.0,0,0.0,0
87,0.39731350541114807,1,0.0,0,0.0,0
88,0.7390079498291016,1,0.0,0,0.0,0
89,0.4822986125946045,1,0.0,0,0.0,0
90,0.5278748273849487,1,0.0,0,0.0,0
91,0.7033650279045105,1,0.0,0,0.0,0
92,0.0,0,0.3849942684173584,1,0.0,0
93,0.0,0,0.0,0,0.3949991464614868,1
94,0.4590941071510315,1,0.0,0,0.0,0
95,0.0,0,0.0,0,0.6508350968360901,1
96,0.0,0,0.0,0,0.562634289264679,1
97,0.0,0,0.0,0,0.45427462458610535,1
98,0.8160942196846008,1,0.0,0,0.0,0
